Designator,Footprint,Quantity,Value,LCSC Part #
"C1001, C1003, C1005, C1007, C1009, C101, C102, C103, C104, C1101, C1201, C1401, C201, C202, C203, C204, C301, C302, C303, C304, C401, C402, C403, C404, C48, C501, C601, C602, C603, C604, C901, C902, C903, C904, C905, C906",0603,36,100nF,C14663
"C1002, C1004, C1006, C1008, C32",0603,5,10nF,C57112
"C1102, C1202",CP_EIA-3216-10_Kemet-I_HandSolder,2,4.7uF,C7189
"C33, C43, C44, C45, C47",CP_Elec_6.3x7.7,5,47uF,C369909
C701,CP_EIA-3528-15_AVX-H_HandSolder,1,10uF,C7194
C702,CP_EIA-3528-15_AVX-H_HandSolder,1,22uF,C696813
D1,D_SMA_Handsoldering,1,SS24,C43381
D2,0805,1,LED (green),C965821
F1,2920,1,ASMDC185F/33-2,C3761950
"J1, J5",IDC-Header_2x25_P2.54mm_Vertical,2,Conn_02x25_Odd_Even,C221059
J3,PinHeader_1x03_P2.54mm_Vertical,1,TO-LED,C6332196
J4,PinHeader_1x03_P2.54mm_Vertical,1,TO-MB,C6332196
J8,PinHeader_1x03_P2.54mm_Vertical,1,TO-A3000-LED,C6332196
J9,PinHeader_1x03_P2.54mm_Vertical,1,TO-A3000-MB,C6332196
R10,0603,1,2.2k,C4190
R11,0603,1,22,C23345
R1401,0603,1,10K,C25804
R9,0603,1,120,C22787
"RN10, RN14, RN15, RN16, RN17, RN6, RN7",BO_CAY16,7,1K,C784824
"U1, U2, U3, U4",DGG56,4,SN74ABT16543DGGR,C2865087
U10,PQFP-160_28x28mm_P0.65mm,1,NCR53c710 SCSI Host Controller,C9900133089
"U11, U12",TSSOP-20_4.4x6.5mm_P0.65mm,2,DS21S07A,C6602097
U14,SOIC-8_multi,1,W25X40CLSN,C19617
U5,TSSOP14_5P1X4P5_NEX,1,74LVC07APW_118,C6051
U6,DGG48,1,SN74ABT16245ADGGR,C130197
U7,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U9,144-TQFP_XIL,1,XC95144XL-TQ144,C1521137
Y1,Oscillator_SMD_Fox_FT5H_5.0x3.2mm,1,Abracon ACO-50MHz,C7431196
